epoch,wp_tmp_bytes,wp_cpu,wp_mem
1785000583,0,0.00,93.53MiB / 2GiB
1785000586,0,0.00,93.53MiB / 2GiB
1785000589,0,0.00,93.53MiB / 2GiB
1785000592,999251,101.21,110.8MiB / 2GiB
1785000595,999251,10.96,117.4MiB / 2GiB
1785000598,999251,37.39,121.9MiB / 2GiB
1785000601,999252,46.27,126MiB / 2GiB
1785000604,1104275,52.69,129MiB / 2GiB
1785000607,999253,0.00,129MiB / 2GiB
1785000610,999253,0.01,129MiB / 2GiB
1785000612,999253,0.00,129MiB / 2GiB
1785000615,999253,0.00,129MiB / 2GiB
1785000619,999253,0.00,129MiB / 2GiB
1785000622,999253,0.00,129MiB / 2GiB
1785000625,999253,0.00,129MiB / 2GiB
1785000628,999253,0.00,129MiB / 2GiB
1785000631,999253,0.00,129MiB / 2GiB
1785000633,999253,0.00,129MiB / 2GiB
1785000636,999253,0.00,129MiB / 2GiB
1785000639,999253,0.00,129MiB / 2GiB
1785000642,999253,0.00,129MiB / 2GiB
1785000645,999253,0.00,129MiB / 2GiB
1785000648,999253,0.00,129MiB / 2GiB
1785000651,999253,0.00,129MiB / 2GiB
1785000654,999253,0.00,129MiB / 2GiB
1785000657,999253,0.00,129MiB / 2GiB
1785000660,999253,0.00,129MiB / 2GiB
1785000662,999253,0.00,129MiB / 2GiB
1785000665,999253,0.00,129MiB / 2GiB
1785000668,999253,0.00,129MiB / 2GiB
1785000672,999253,0.00,129MiB / 2GiB
1785000675,999253,0.00,129MiB / 2GiB
1785000678,999253,0.00,129MiB / 2GiB
1785000681,999253,0.00,129MiB / 2GiB
1785000683,999253,0.00,129MiB / 2GiB
1785000686,999253,0.00,129MiB / 2GiB
1785000689,999253,0.00,129MiB / 2GiB
1785000692,999253,0.00,129MiB / 2GiB
1785000695,999253,0.00,129MiB / 2GiB
1785000698,999253,0.00,129MiB / 2GiB
1785000701,6369465,100.94,133.9MiB / 2GiB
1785000703,2119128,0.00,133.8MiB / 2GiB
1785000706,2119128,0.00,133.8MiB / 2GiB
1785000709,2119128,0.00,133.8MiB / 2GiB
1785000712,2119128,0.00,133.8MiB / 2GiB
1785000715,2119128,0.00,133.8MiB / 2GiB
1785000718,2119128,0.00,133.8MiB / 2GiB
1785000721,2119128,0.00,133.8MiB / 2GiB
1785000724,2119128,0.00,133.8MiB / 2GiB
1785000727,2119128,0.00,133.8MiB / 2GiB
1785000731,2119128,0.00,133.8MiB / 2GiB
1785000733,2119128,0.00,133.8MiB / 2GiB
1785000736,2119128,14.65,134MiB / 2GiB
1785000739,3773739,8.60,132.2MiB / 2GiB
1785000742,3277950,60.71,133.6MiB / 2GiB
1785000745,3118380,46.31,133.6MiB / 2GiB
1785000748,3118550,0.00,133.6MiB / 2GiB
1785000751,3118381,0.00,133.6MiB / 2GiB
1785000753,3118381,0.00,133.6MiB / 2GiB
1785000756,3118381,0.00,133.6MiB / 2GiB
1785000759,3118381,0.00,133.6MiB / 2GiB
1785000762,3118381,0.00,133.6MiB / 2GiB
1785000765,3118381,0.00,133.6MiB / 2GiB
1785000768,3118381,0.00,133.6MiB / 2GiB
1785000771,3118381,0.00,133.6MiB / 2GiB
1785000774,3118381,0.00,133.6MiB / 2GiB
1785000777,3118381,0.00,133.6MiB / 2GiB
1785000780,3118381,0.00,133.6MiB / 2GiB
1785000782,3118381,0.00,133.6MiB / 2GiB
1785000785,3118381,0.00,133.6MiB / 2GiB
1785000789,3118381,0.00,133.6MiB / 2GiB
1785000792,3118381,0.00,133.6MiB / 2GiB
1785000795,3118381,0.00,133.6MiB / 2GiB
1785000798,3118381,0.00,133.6MiB / 2GiB
1785000801,3118381,0.00,133.6MiB / 2GiB
1785000803,3118381,0.00,133.6MiB / 2GiB
1785000806,3118381,0.00,133.6MiB / 2GiB
1785000809,3118381,0.00,133.6MiB / 2GiB
1785000812,3118381,0.00,133.6MiB / 2GiB
1785000815,3118381,0.00,133.6MiB / 2GiB
1785000818,3118381,0.00,133.6MiB / 2GiB
1785000821,3118381,0.00,133.6MiB / 2GiB
1785000823,3118381,0.00,133.6MiB / 2GiB
1785000826,3118381,0.00,133.6MiB / 2GiB
1785000829,3118381,0.00,133.6MiB / 2GiB
1785000832,3118381,0.00,133.6MiB / 2GiB
1785000835,3118381,0.00,133.6MiB / 2GiB
1785000838,3118381,0.00,133.6MiB / 2GiB
1785000841,3118381,0.00,133.6MiB / 2GiB
1785000844,3118381,0.00,133.6MiB / 2GiB
1785000847,3118381,0.00,133.6MiB / 2GiB
1785000851,3118381,0.00,133.6MiB / 2GiB
1785000853,3118381,0.00,133.6MiB / 2GiB
1785000856,3118381,0.00,133.6MiB / 2GiB
1785000859,3118381,0.00,133.6MiB / 2GiB
1785000862,3118381,0.00,133.6MiB / 2GiB
1785000865,3118381,0.00,137.5MiB / 2GiB
1785000868,3118381,0.00,137.5MiB / 2GiB
1785000871,3118381,0.00,137.5MiB / 2GiB
1785000873,3118381,0.00,137.5MiB / 2GiB
1785000876,3118381,0.00,137.5MiB / 2GiB
1785000879,3118381,0.00,137.5MiB / 2GiB
1785000882,3118381,0.00,137.5MiB / 2GiB
1785000885,3118381,0.00,137.5MiB / 2GiB
1785000888,3118381,0.00,137.5MiB / 2GiB
1785000891,3118381,0.00,137.5MiB / 2GiB
1785000894,3118381,0.00,137.5MiB / 2GiB
1785000897,3118381,0.00,137.5MiB / 2GiB
1785000900,3118381,0.00,137.5MiB / 2GiB
1785000902,3118381,0.00,137.5MiB / 2GiB
1785000906,3118381,0.00,137.5MiB / 2GiB
1785000909,3118381,0.00,137.5MiB / 2GiB
1785000912,3118381,0.00,140.2MiB / 2GiB
1785000915,3118381,0.00,139.8MiB / 2GiB
1785000918,3118381,0.00,144.1MiB / 2GiB
1785000921,3118381,0.00,144.1MiB / 2GiB
1785000923,3118381,0.00,144.1MiB / 2GiB
1785000926,3118381,0.00,144.1MiB / 2GiB
1785000929,3118381,0.00,144.1MiB / 2GiB
1785000932,3118381,0.00,144.1MiB / 2GiB
1785000935,3118381,0.00,144.1MiB / 2GiB
1785000938,3118381,0.00,144.1MiB / 2GiB
1785000941,3118381,0.00,144.1MiB / 2GiB
1785000944,3118381,0.00,144.1MiB / 2GiB
1785000947,3118381,0.00,144.1MiB / 2GiB
1785000950,3118381,0.00,144.1MiB / 2GiB
1785000952,3118381,0.00,144.1MiB / 2GiB
1785000955,3118381,0.00,144.1MiB / 2GiB
1785000958,3118381,0.00,144.1MiB / 2GiB
1785000962,3118381,0.00,144.1MiB / 2GiB
1785000965,3118381,0.00,144.1MiB / 2GiB
1785000968,3118381,0.00,144.1MiB / 2GiB
1785000971,3118381,0.00,144.1MiB / 2GiB
1785000973,3118381,0.00,144.1MiB / 2GiB
1785000976,3118381,0.00,144.1MiB / 2GiB
1785000979,3118381,0.00,144.1MiB / 2GiB
1785000982,3118381,0.00,144.1MiB / 2GiB
1785000985,3118381,0.00,144.1MiB / 2GiB
1785000988,3118381,0.00,144.1MiB / 2GiB
1785000991,3118381,0.00,144.1MiB / 2GiB
1785000993,3118381,0.00,144.1MiB / 2GiB
1785000996,3118381,0.00,144.1MiB / 2GiB
1785000999,3118381,0.00,144.1MiB / 2GiB
1785001002,3118381,0.00,144.1MiB / 2GiB
1785001005,3118381,0.00,144.1MiB / 2GiB
1785001008,3118381,0.00,144.1MiB / 2GiB
1785001011,3118381,0.00,144.1MiB / 2GiB
1785001014,3118381,0.00,144.1MiB / 2GiB
1785001017,3118381,0.00,144.1MiB / 2GiB
1785001020,3118381,0.00,144.1MiB / 2GiB
1785001023,3118381,0.00,144.1MiB / 2GiB
1785001026,3118381,0.00,144.1MiB / 2GiB
1785001029,3118381,0.00,144.1MiB / 2GiB
1785001032,3118381,0.00,144.1MiB / 2GiB
1785001035,3118381,8.67,144.4MiB / 2GiB
1785001038,3118381,0.00,144.4MiB / 2GiB
1785001041,3118381,0.00,144.4MiB / 2GiB
1785001043,3118381,0.00,144.4MiB / 2GiB
1785001046,3118381,0.00,144.4MiB / 2GiB
1785001049,3118381,0.00,144.4MiB / 2GiB
1785001052,3118381,0.00,144.4MiB / 2GiB
1785001055,3118381,0.00,144.4MiB / 2GiB
1785001058,3118381,0.00,144.4MiB / 2GiB
1785001061,3118381,0.00,144.4MiB / 2GiB
1785001064,3118381,0.00,144.4MiB / 2GiB
1785001067,3118381,0.00,144.4MiB / 2GiB
1785001070,3118381,0.00,144.4MiB / 2GiB
1785001072,3118381,0.00,144.4MiB / 2GiB
1785001075,3118381,0.00,144.4MiB / 2GiB
1785001079,3118381,0.00,144.4MiB / 2GiB
1785001082,3118381,339.34,152.6MiB / 2GiB
1785001085,3118381,406.44,176MiB / 2GiB
1785001088,3118381,403.84,206.7MiB / 2GiB
1785001091,3118381,406.29,206.7MiB / 2GiB
1785001093,3118381,405.72,206.7MiB / 2GiB
